Model,Silhouette,Davies-Bouldin,Calinski-Harabasz
Kmeans,0.3040600988258827,1.1672300848200368,68.96456847863874
GMM,0.2216401485402198,1.2106137671043733,45.81743407409341
hierarchical,0.28699413201651747,1.2197730790225612,64.46870730105833
dbscan,0.012015057781900517,1.3894410235842227,12.0993970924709
